Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,Año_colision,mes_colision,OperadOR Militar,OperadOR no Militar,crashed,failure,weather,other,nuevo_id
"Rome, Italy",Uganda Airlines,Boeing B-707-338C,52,45,7,33,26,7,0,"Undershot runway and hit  a building while performing a third landing attempt in fog. The crew's lack of adequate preparation in the procedure for a non-precision approach, especially in crew coordination, altitude callouts and their continued descent beyond MDA without having located the runway visual markings. Crew fatigue.",1988,10,0,1,0,0,0,1,1421
"Near Ahmedabad, India",Indian Airlines,Boeing B-737-2A8,129,124,5,124,119,5,0,"The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames. Error on the part of pilot-in-command as well as co-pilot due to non adherence to procedures under poor visibility conditions.",1988,10,0,1,0,0,0,1,1420
"Gauhati, India",Vayudoot,Fokker F-27 Friendship 100,34,31,3,34,31,3,0,Crashed short of the runway. Controlled flight into terrain.,1988,10,0,1,1,0,0,0,1419
"Juliaca, Peru",Aero Peru,Fokker F-28 Fellowship 1000,69,65,4,12,11,1,0,Crashed shortly after taking off from Manco Capac airport at Juliaca. The pilot tried to return to the runway but crashed in a high nose-up attitude into a pasture. The plane broke in two and burst into flames.,1988,10,0,1,1,0,0,0,1418
"Near Rzeszow, Poland",LOT Polish Airlines,Antonov AN-24B,29,25,4,1,1,0,0,"The plane attempted to make an emergency landing due to engine failure, struck a ditch and caught fire.",1988,11,0,1,0,1,0,0,1417
"Ilmajoki, Finland",Wasa Wings,Embraer 110P1 Bandeirante,12,10,2,6,4,2,0,"The aircraft struck trees 2,400 feet next to the runway while approaching in deteriorating weather conditions. A power failure caused all light to go out at the airport.",1988,11,0,1,0,1,1,0,1416
"Montluçon, France",Air Littoral,Swearingen SA-226TC Metro II,4,2,2,4,2,2,0,While taking off the nose pitched down the plane descended and crashed to the ground and caught fire. Inadvertent activation of the Stall Avoidance System resulting in the stick pusher activation at a crucial altitude.,1988,11,0,1,1,0,0,0,1415
"Hamada al Hambra, Libya",Aero Club Libya,de Havilland Canada DHC-6 Twin Otter 300,14,12,2,14,12,2,0,While attempting to land in mist and poor visibility the aircraft hit a  pylon and burned. VFR flight in IMC,1988,11,0,1,0,0,0,1,1414
"Kodinsk, Russia",Aeroflot,Let 410UVP,14,12,2,6,4,2,0,The aircraft struck the ground while the crew was in the base leg turn. Crew procedural errors. The radio altimeter warning was not set and the outer marker was not used during the approach.,1988,12,0,1,0,0,0,1,1413
"Bîr Mogreïn, Mauritania",T & G Aviation,Douglas DC-7CF,5,0,5,5,0,5,0,Accidently struck by a surface-to-air missile by the Polisario.,1988,12,0,1,0,0,0,1,1412
"Leninakan, Armenia, USSR",Military - Russian Air Force / Military - Russian Air Force,Ilyushin IL-76 / Mi-8 (helicopter),83,74,9,77,68,9,0,A midair collision occurred between a soviet transport on an earthquake relief mission and a military Mi-8 helicopter.  As the transport approached for a landing in the darkness it struck the helicocopter.  Seventy-seven of 78 aboard the transport were killed. All five aboard the Mi-8 survived. The crew had used an incorrect altimeter setting.,1988,12,1,0,0,0,0,1,1411
"Near Luxor, Egypt",GAS Air,Boeing B-707-321C,8,5,3,8,5,3,5,After 2 missed approaches at Cairo the plane diverted to Luxor but crashed into a residential neighborhood while attempting to land. Forced landing. Fuel exhaustion.,1988,12,0,1,1,0,0,0,1410
"Lockerbie, Scotland",Pan American World Airways,Boeing B-747-121A,259,243,16,259,243,16,11,"The airliner disappeared from radar shortly after leveling off at FL 310 while on a flight from Heathrow Airport, London,  to New York. The aircraft broke up with two main sections of wreckage coming down in the town of Lockerbie. Detonation of an explosive device in the forward cargo area planted by terrorists.  Musician Paul Jeffreys killed. The aircraft was named ""Clipper Maid of the Seas.""",1988,12,0,1,0,0,0,1,1409
"Leicestershire, England",British Midland Airways,Boeing B-737-4Y0,126,118,8,47,47,0,0,"While en route and climbing through FL 280, a vibration was felt and the smell of smoke was detected.  A fan blade on the No. 1 engine detached and caused a compressor stall and vibration of the aircraft. The crew throttled back the No. 2 engine and the vibration stopped. Soon after it was decided to shut down the No. 2 engine. While attempting to land, power was lost in the No. 1 engine, the aircraft stalled and crashed into trees 3,000 ft. short of the runway. The crew mistakenly shut down the wrong engine, lost power in the disabled engine and was unable to maintain flight in the final approach.",1989,1,0,1,1,0,0,0,1408
"Near Abilene, Texas",Military - U.S. Air Force,Boeing KC-135A,19,12,7,19,12,7,0,Crashed in flames after taking off from Dyess Air Force Base. Failure of the water injection system during takeoff.,1989,1,1,0,1,1,0,0,1407
"Rangoon, Myanmar",Burma Airways,Fokker F-27 Friendship 600,29,25,4,26,23,3,0,The aircraft entered a fog bank after taking off from Rangoon and hit a tree and caught fire.,1989,2,0,1,0,0,0,1,1406
"Marseille, France",RAM,Vickers 952F Vanguard,3,0,3,3,0,3,0,After a second takeoff attempt the cargo plane banked to the right until it crashed into the water.,1989,2,0,1,1,0,0,0,1405
"Santa Maria, Azores, Portugal",Independent Air Inc.,Boeing B-707-331B,144,137,7,144,137,7,0,"The airliner hit a mountain while attempting to land at Santa Maria. The crew mistakenly continued to descend through 3,000 ft. which it was cleared to. Because of a overlap in communications, the tower did not notice the mistake. The aircraft continued to descend and did not comment or react to warnings from the GPSW for 7 seconds. The aircraft then hit Pico Alto mountain at an altitude of 2,000 ft.  Procedural errors by the flight crew and ATC. Descent of the aircraft below minimum sector altitude. Transmission from the tower of a QNH value higher than the actual value.",1989,2,0,1,0,0,0,1,1404
"Near Kuala Lumpur, Malaysia",Flying Tiger Line,Boeing 747-249F,4,0,4,4,0,4,0,"The cargo plane descended below minimums and impacted trees and a hill. Non-standard phraseology used by Kuala Lumpur ATC, causing the crew to misinterpret the instructions.",1989,2,0,1,0,0,0,1,1403
"Honolulu, Hawaii",United Air Lines,Boeing B-747-122,356,338,18,9,9,0,0,"After leaving Honolulu, on a flight from Los Angeles to Sydney, Australia, the loss of an improperly latched forward lower lobe cargo door resulted in explosive decompression and loss of power in the No. 3 and 4 engines. Nine passengers were sucked out of the plane and lost at sea. The plane landed safely. The cargo door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door latches towards the unlatched position after initial door closure and before takeoff. As a failsafe, the latches should have been blocked from moving by a mechanism called a ""locking sector"" (one on each latch), engaged manually by a lever after the door is closed.  However, the locking sectors as designed were not strong enough and could be overcome by the motors which was a design flaw right from the introduction of the747.  This was finally recognized as serious, after a non-fatal failure in 1987, but installing stronger locking sectors required taking each plane out of service 10 hours, and the FAA had allowed airlines 18 months so they could do it during other maintenance procedures.",1989,2,0,1,0,1,0,0,1402
"Near Quebec City, Quebec, Canada",Transfair,Douglas C-47A,2,0,2,2,0,2,0,The cargo plane crashed after its initial climb. Icing.,1989,2,0,1,1,0,0,0,1401
"Lima, Peru",Aero Condor,Britten Norman BN-2A Trislander,10,9,1,10,9,1,0,Crashed after striking radio tower while on approach.,1989,3,0,1,1,0,0,0,1400
"Dryden, Ontario, Canada",Air Ontario,Fokker F-28 Fellowship 1000,69,65,4,24,21,3,0,"While flying from Thunder Bay, Ontario to Winnipeg, Manitoba, the plane crashed on take-off from Dryden, Ontario. The aircraft failed to gain altitude, settled back down on the runway and then took off for a second time clipping the tops of  trees, causing debris to clog the engines leading to the plane crashing. The aircraft was being refueled with one engine running because of an unserviceable APU. Since no external power unit was available at the airport the engine could not be shut down and deicing could not be performed. The captain's decision to take off  in deteriorating weather conditions with an accumulation of snow and ice on the wings.  Decision not to de-ice the plane before taking off. The failure of the Canadian air transport system in placing the crew in a situation where they did not have the resources to make a proper decision.",1989,3,0,1,1,1,1,0,1399
"West Lafayette, Indiana",Mid Pacific Air,NAMC YS-11A-300F,2,0,2,2,0,2,0,"While landing the cargo plane pitched down and crashed short of the runway. A loss of control due to the improper in-flight decisions by the crew and the undetected accumulation of ice on the leading edge of the horizontal stabilizer, during flight in a forward centre of gravity condition and exacerbated by the extension of full landing flaps.",1989,3,0,1,1,0,0,0,1398
"Carswell AFB, Texas",Evergreen International Airlines,McDonnell Douglas DC-9-33RC,2,0,2,2,0,2,0,"The loss of control of the airplane for undetermined reasons following the in-flight opening of the improperly latched cargo door. Contributing to the accident were inadequate procedures used by Evergreen Airlines and approved by the FAA for pre-flight verification of external cargo door lock pin manual control handle, and the failure of McDonnell Douglas to provide flight crew guidance and emergency procedures for an in-flight opening of the cargo door. Also contributing to the accident was the failure of the FAA to mandate modification to the door-open warning system for DC-9 cargo-configured airplanes, given the previously known occurrences of in-flight door openings.",1989,3,0,1,0,1,0,0,1397
"Guarulhos, Brazil",Transbrasil,Boeing B-707-349C,3,0,3,3,0,3,18,"The plane crashed into houses during a steep approach. Crew error. High speed approach. Deep stall. This was the Boeing 707 used in the movie ""Airport"" in 1970.",1989,3,0,1,1,0,0,0,1396
"Col de Tourniol, France",Europe Aero Service EAS,Fairchild FH-227B,22,19,3,22,19,3,0,"After being cleared on a heading for Valence, the aircraft continued on its current heading until it struck a mountain at 4,100 feet. Crew error. Navigational error. Controlled flight into terrain.",1989,4,0,1,0,0,0,1,1395
"Near Cucuta, Colombia",SATENA,Pilatus PC-6 Turbo Porter,11,10,1,11,10,1,0,Crashed while en route.,1989,4,0,1,1,0,0,0,1394
"Baranquilla, Colombia",Aerosucre Colombia,Aérospatiale SE-210 Caravelle,5,2,3,5,2,3,0,"The cargo flight suffered the shifting of cargo after takeoff cause the plane to take a nose-high attitude, stall and crash into houses.",1989,4,0,1,0,0,0,1,1393
"Near Cancun, Mexico",Aero Cozumel,Britten Norman BN-2A Trislander II,19,17,2,6,6,0,0,Crashed after the pilot radioed he was making an emergency landing with engine problems.,1989,5,0,1,1,0,0,0,1392
"Oskarshamn, Sweden",Holmstoem Air,Beechcraft 99,16,14,2,16,14,2,0,"While on approach the plane pitched up, went into a steep dive and crashed short of the runway. Aircraft improperly loaded causing a shift in the center of gravity.",1989,5,0,1,1,0,0,0,1391
"Near Paramaribo, Surinam",Surinam Airways,McDonnell Douglas DC-8 Super 62,187,178,9,176,167,9,0,"The aircraft hit a tree and crashed during a third landing attempt in fog. The crew descended below the published minimum altitude. Despite concerns about possible landing equipment failures the crew was determined to make a landing and not divert to another airport as they were running out of fuel. They could not get an ILS signal and ignored a Ground Proximity Warning System alarm 60 seconds prior to the crash by turning it off 10 seconds after it started its warning. About 20 members from the Dutch soccer team ""Colorful 11"" from Surinam were killed.",1989,6,0,1,1,0,0,0,1390
"Vereda el Salitre, Colombia",Aerotaca,de Havilland Canada DHC-6 Twin Otter 300,22,20,2,6,6,0,0,Crashed into a mountain.,1989,6,0,1,1,0,0,0,1389
"Berlin, Germany",Interflug,Ilyushin IL-62MK,113,103,10,20,20,0,1,"The pilot aborted the takeoff at liftoff after it was discovered the rudder and elevator were jammed. When the command was given to apply reverse thrust  the flight engineer switched off the engines by mistake. The aircraft overran runway, collided with obstacles and caught fire. Jammed rudder and elevator.",1989,6,0,1,0,0,0,1,1388
"Zabol, Iran",Ariana Afghan Airlines,Antonov AN-26,39,35,4,6,6,0,0,A ramp door opened in flight causing loss of control of the aircraft. The plane crashed into a hill.,1989,6,0,1,1,0,0,0,1387
"Near Tarma, Peru",Fuerza Aérea del Peru,de Havilland Canada DHC-5D Buffalo,62,57,5,62,57,5,0,Crashed into a mountainside in the remote Andean highlands shortly after leaving San Ramon. Overloaded.,1989,6,0,1,1,0,0,0,1386
"Kaohsiung, Taiwan",Formosa Airlines,Cessna 404 Titan Courier II,13,11,2,12,10,1,0,Crashed into houses on takeoff and exploded.,1989,6,0,1,1,0,0,0,1385
"Yaounde,  Cameroon",Cameroon Airlines,Hawker Siddeley HS-748-435 Srs. 2,47,45,2,3,1,2,0,"The plane landed short of the runway on the third landing attempt, overran the runway and collided with an embankment.",1989,6,0,1,0,0,0,1,1384
"Near Borana, Somalia",Somali Airlines,Fokker F-27 Friendship 600RF,30,24,6,30,24,6,0,Crashed after takeoff.  Shot down by a surface-to-air missile.,1989,6,0,1,1,0,0,0,1383
"Cartersville, Georgia",Calair,Dassault Falcon 20,2,0,2,2,0,2,0,"Unable to gain altitude the positioning flight struck powerlines and crashed. Failure of the pilot-in-command  to assure that the aircraft maintained a climb profile after takeoff. Factors related to the accident were: dark night, the crew's lack of visual perception at night, the PIC's lack of rest (fatigue) and the copilot's failure to attain remedial action.",1989,6,0,1,1,1,0,0,1382
"Glen Burnie, Maryland",Air Taxi - Centre Airlines Inc.,Beech E18S,5,4,1,2,2,0,0,"Shortly after departing from runway 15l at the Baltimore-Washington International Airport, the pilot transmitted that he had an emergency consisting of a fire under his side panel. He reported he was going to circle & land. According to witnesses, flames & smoke were in the cockpit area. The aircraft started a gradual descent during a left turn. Subsequently, it crashed into a house.",1989,7,0,1,1,0,0,0,1381
"Talourow Island, USSR",Aeroflot,Antonov AN-26,10,6,4,10,6,4,0,Crashed into costal cliffs while on an ice observation flight.,1989,7,0,1,1,0,0,0,1380
"Sioux City, Iowa",United Air Lines,McDonnell Douglas DC-10-10,298,287,11,112,111,1,0,"Catastrophic failure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage. The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulic systems. The  failure was traced back to a manufacturing defect in the fan disk, which had microscopic cracks due to impurities. Subject of the 1992 TV-movie ""Crash Landing: The Rescue of Flight 232.""",1989,7,0,1,1,1,0,0,1379
"Porgera, New Guinea",Talair,de Havilland Canada DHC-6 Twin Otter 300,22,20,2,3,1,2,0,Crashed into jungle shortly after taking off.,1989,7,0,1,1,0,0,0,1378
"Manila, Philippines",Philippine Air Lines,BAC One-Eleven 516FP,98,91,7,1,1,0,8,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars.",1989,7,0,1,1,0,0,0,1377
"Tripoli, Libya",Korean Airlines,McDonnell Douglas DC-10-30,199,181,18,75,72,3,4,The aircraft crashed short of the runway while landing in fog. Failure of the captain to land without analyzing the weather data.,1989,7,0,1,1,1,1,0,1376
"Auckland, New Zealand",Air Freight New Zealand,Convair CV-580,3,0,3,3,0,3,0,The cargo lost altitude shortly after lifting off and crashed and broke up in  Manukau Harbor. The training captain's failure to monitor the aircraft's climb flight path during the critical stage of the climb after take-off.,1989,7,0,1,1,1,0,0,1375
"Samos, Greece",Olympic Aviation,Shorts 330-200,34,31,3,34,31,3,0,Crashed into Mt. Kerkis in poor weather after deviating from course on approach. The crew was flying VFR in IFR conditons. The aircraft was named Isle of Minos.,1989,8,0,1,1,0,1,0,1374
"Near Gambela, Ethiopia",RRC Air Service,de Havilland DHC-6 Twin Otter 300,16,13,3,16,13,3,0,"The aircraft took off from Addis Ababa to see how much food was reaching the famine-stricken area of western Ethiopia.  The plane crashed into a mountain in poor weather conditons at an altitude of  3,600 feet.  The crew flew into an area of bad weather at a very low altitude and failed to maintain visual contact with the ground.  U.S. Representative George Thomas ""Mickey"" Leland, 45, killed.",1989,8,0,1,1,0,1,0,1373
"Near Midford Sound, New Zealand",Aspring Air,Britten-Norman BN-2A-26 Trislander,10,9,1,10,9,1,0,Crashed into the face of a mountain. Undetermined.,1989,8,0,1,1,0,0,0,1372
"Janice, Mississippi",Private,Cessna 177RG,2,1,1,2,1,1,0,"The aircraft was flying from Hattiesburg to Gulfport. The non-instrument rated pilot lost control of the aircraft after encountering instrument meteorological conditions resulting in the airplane spiraling into the ground in a wooded area.  U.S. Representative from Mississippi, Larkin Smith, 45, was killed.",1989,8,0,1,0,0,0,1,1371
"Shanghai, China
, China",China Eastern Airlines,Antonov AN-24RV,40,34,6,34,28,6,0,Lost power and crashed into a river shortly after taking off from Shanghai.,1989,8,0,1,1,0,0,0,1370
"Near Gilgit, Pakistan",Pakistan International Airlines,Fokker F-27 Friendship 200,54,49,5,54,49,5,0,Crashed into Himalaya Mountains en route from Gilgit to Islamabad.,1989,8,0,1,1,0,0,0,1369
"Near Sao Jose do Xingu, Brazil",Varig,Boeing B-737-241,54,48,6,13,13,0,0,"A series of navigation errors led to the aircraft running out of fuel and crashing into the jungle. The crew was working with a filight plan that showed the course in tenths of a degree  instead of in the usual whole degrees. When the flight plan indicated 0270 degrees, the crew should have been flying at 027 degrees. Instead they flew at 270 degrees (west).Therefore, the crew flew in  the wrong direction, even though Belem was north of Maraba and the sun was setting right in front of them. Then they assumed they had overshot Belem and flew straight back east. Then they began following a river which they assumed was the Amazon which would lead them to Belem, but it was the Xingu river. Finally, they  tuned in a radio station and homed in on it assuming it was a Belem station, which it wasn't.",1989,9,0,1,0,0,0,1,1368
"Near Havana, Cuba",Cubana de Aviacion,Ilyushin IL-62M,126,115,11,126,115,11,45,The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision of the pilot in command  to fly after an abrupt deterioration in weather conditions.,1989,9,0,1,1,0,1,0,1367
"Skagerrak, Denmark",Partnair,Convair CV-580,55,50,5,55,50,5,0,"The aircraft crashed into the sea after an in-flight breakup. Severe vibration caused by worn bolts causing the rudder to jam and the tail to collapse. Bolts used to attach the fin to the fuselage were found to be counterfeit and wore much faster that genuine bolts.  Official PC: The accident was caused by loss of control due to the destruction of primary control surfaces in the tail section, which, in turn, was caused by aeroelastic oscillations initiated by abnormal clearances in the vertical stabilizer attachments to the fuselage structure.
The condition of the attachments was a result of excessive wear in pins and sleeves used in this structural joint. The pins and sleeves were of an inferior quality and did not satisfy specified values for hardness and tensile strength. They had also been installed and inspected using sub-standard maintenance procedures. Undamped oscillations in the elevator contributed to the structural failure of the empennage.""",1989,9,0,1,1,1,0,0,1366
"Mayfield, Kentucky",Wehite Cap Aviation,Beech King Air B100,6,5,1,6,5,1,0,"Crashed into trees while attempting to land at night, in fog. Improper IFR procedures and failure to maintain minimum descent altitude.",1989,9,0,1,1,1,0,0,1365
"Near Bentuni, Indonesia",Merpati Nusantara Airlines,de Havilland Canada DHC-6 Twin Otter 300,22,19,3,22,19,3,0,Crashed while making an approach to Bintuni.,1989,9,0,1,1,0,0,0,1364
"Near Bilma, Niger",Union des Transportes Aeriens,McDonnell Douglas DC-10-30,171,156,15,171,156,15,0,"While climbing through FL 350, 46 minutes after takeoff, a bomb exploded in a container in location 13-R in the forward cargo hold. The aircraft disintegrated and crashed into the desert. A Congolese man, who boarded at Brazzaville and disembarked at Ndjamena was believed to have brought the bomb aboard.",1989,9,0,1,1,0,0,0,1363
"La Guardia Airport, New York, New York",USAir,Boeing B-737-401,63,57,6,2,2,0,0,"During an aborted takeoff,  the aircraft overran the runway, hit a wooden approach lighting pier and came to rest partially submerged in shallow water in Bowery Bay. The failure of the captain to exercise his authority in a timely manner to reject or continue the troubled takeoff which was initiated by a mistrimmed rudder.",1989,9,0,1,0,1,0,0,1362
"Ujani Dam, India",Vayudoot,Dornier Do-288-201,11,8,3,11,8,3,0,Exploded in mid-air and crashed during a thunderstorm and heavy rain.,1989,9,0,1,1,0,0,0,1361
"Terrace,  Canada",Skylink Airlines,Swearingen SA.227AC Metro III,7,5,2,7,5,2,0,"The plane struck trees, losing part of a wing after initiating a go-around. The crew continued with the approach beyond the missed approach point without establishing the required visual references.",1989,9,0,1,0,0,0,1,1360
"Grand Canyon National Park Airport, Tusayan, Arizona",Grand Canyon Airlines,de Havilland Canada DHC-6 Twin Otter 300,21,19,2,10,8,2,0,"The aircraft bounced and came down on its right wing tip while attempting to land. The controls were damaged and after an attempted go-around and reaching a height of 200 ft., the plane rolled to the left and crashed into trees on a hill. Improper pilot techniques and crew coordination during the landing attempt, bounce and attempted go-around.",1989,9,0,1,1,0,0,0,1359
"Semyonovka ,Ukraine",MAP,Antonov An-32,9,4,5,9,4,5,0,Failure of the autopilot caused the plane to enter a spiral descent. Attempts to pull the plane out caused the aircraft to break-up in midair and crash into a swamp.,1989,9,0,1,0,1,0,0,1358
"Perth, Ontario, Canada",Military - U.S. Air Force,Boeing KC-135A,4,0,4,4,0,4,0,A dry  fuel pump led to the ignition of fuel vapors.,1989,10,1,0,0,0,0,1,1357
"Uncertain, Texas",Winchester Air,Cessna 208 Caravan I,5,3,2,5,3,2,0,"The aircraft took off, made a left turn and crashed into trees.  Improper planning and decision by the pilot-in-command and failure of the crew to maintain runway alignment and clearance from the high obstructions beside the runway. Contributing factors included weather conditions, dark night, lack of runway edge lights, lack of visual perception by the pilots and trees beside the runway.",1989,10,0,1,1,1,1,0,1356
"Lacey Township, New Jersey",Air Taxi - Paramount Aviation Corp.,Agusta A109A MK II,5,4,1,5,4,1,0,"In-flight separation of a main rotor blade of the helicopter due to fatigue failure of the main rotor blade spar, which originated at a manufacturing induced scratch (tool mark) that was the result of inadequate quality control.",1989,10,0,1,0,1,0,0,1355
"Urpay, Peru",TAUSA,Cessna 402C Utililiner,12,11,1,12,11,1,0,Crashed into mountain after takeoff.,1989,10,0,1,1,0,0,0,1354
"Nasosny, Russia",Military - Russian Air Force,Ilyushin IL-76MD,57,50,7,57,50,7,0,Crashed into the Caspian sea after reporting an engine fire.,1989,10,1,0,1,0,0,0,1353
"Leninakan, Russia",Aeroflot,Ilyushin IL-76TD,15,10,5,15,10,5,0,Descended below minima and struck a mountain. Did not heed GPWS warnings. Incorrectly set altimeter.,1989,10,0,1,0,0,0,1,1352
"Near Tegucigalpa, Honduras",TAN,Boeing B-727-224,146,138,8,127,123,4,0,The aircraft landed short of the runway in heavy rain and high winds after returning to the airport. The crew did not follow the proper approach procedure.,1989,10,0,1,0,0,0,1,1351
"Petropavlovsk, USSR",Military - Soviet Air Force,Antonov AN-26,36,30,6,36,30,6,0,Crashed while attempting to land in poor weather. Controlled flight into terrain.,1989,10,1,0,1,0,1,0,1350
"Hualien, China",China Airlines (Taiwan),Boeing B-737-209,54,47,7,54,47,7,0,"The plane hit a 7,000 ft, mountain 10 minutes after taking off. The flight crew used an incorrect departure procedure.",1989,10,0,1,0,0,0,1,1349
"Halawa Point, Molokai, Hawaii",Aloha Island Air,de Havilland DHC-6 Twin Otter 300,20,18,2,20,18,2,0,"The aircraft collided with terrain near Halawa Bay, Molokai, Hawaii, while en route on a scheduled passenger flight from the Kahalui Airport, Maui, to Kaunakakai Airport, Molokai. The decision of the captain to continue flight under visual flight rules at night into instrument meteorological conditions, which obscured rising mountainous terrain. The victims included eight members of Molokai High School's volleyball team and staff.",1989,10,0,1,0,0,0,1,1348
"Monrovia, Liberia",Weasua Air Ttansport,Britten-Norman BN-2A Islander,10,9,1,2,1,1,0,Crashed on a beach following engine failure.,1989,11,0,1,1,1,0,0,1347
"Maluti Mountains, Lesotho",Military - Royal Lesotho Defence Force,Casa 212 Aviocar,18,16,2,18,16,2,0,Hit a mountain.,1989,11,1,0,0,0,0,1,1346
"Near Tyumem, Russia",Aeroflot,Antonov AN-24,42,36,6,34,28,6,0,The plane collided with  trees 180 m from the Inner Marker.  Weather was below minima with a 80 m cloud base and 2000 m visibility in haze and snow.,1989,11,0,1,0,0,1,0,1345
"Seoul, South Korea",Korean Airlines,Fokker F-28 Fellowship 4000,52,46,6,1,1,0,0,"The plane crashed during takeoff after losing the left engine, directional control and overrunning the runway and catching fire.",1989,11,0,1,1,0,0,0,1344
"Bogota, Colombia",AVIANCA,Boeing B-727-21,107,101,6,107,101,6,3,The plane burst into flames and crashed shortly after taking off from El Dorado Airport. Detonation of an explosive device placed on the floor on the starboard side of the passenger cabin at seat 15F which ignited fuel vapors in an empty fuel tank. The bomb was placed by members of the drug cartel headed by Pablo Escobar in an attempt to kill presidental candidate Cesare Gaviria. He was not aboard the flight.,1989,11,0,1,1,0,0,0,1343
"Near Jamba, Angola",Tepper Aviation,Lockheed L-100-20 Hercules,5,0,5,5,0,5,0,Crashed while landing.,1989,11,0,1,1,0,0,0,1342
"Charallave, Venezuela",Lineas Aéreas Cave,Cessna 402,7,5,2,3,1,2,0,"The aircraft was making a night, VOR instrument approach to Runway 28.  Visual meteorological conditions prevailed, except for some parts of the airport which were obscured by low cloud.  Approaching Runway 28, the aircraft was too high to land and the pilot chose instead to enter a right downwind to land on Runway 10.  At approximately 400 feet above ground level on final for Runway 10, the aircraft entered some clouds, the base of which were reported by the tower operator to be at 10 meters.  The aircraft continued its descent, initially striking some trees about 400 feet short of the runway, then shearing off one of the main landing gear on a hillside road about 200 feet prior to the runway.  The aircraft, under full power and nose up, began to climb, but rolled inverted and crashed at the threshold of Runway 10.  The wing fuel tanks were ruptured and the fuselage, trailing fire, slid across the runway and stopped on the parallel taxiway.  A fire ensued and airport fire and rescue crews put out the fire within 10 minutes.  Both pilots and one passenger were killed by impact and the remaining four passengers were taken to the hospital with moderate injuries.  The primary cause of the accident was the pilot's decision to descend without visual reference to the surface.  A contributing factor was the negative affect on crew performance that resulted from not using oxygen at 12,000 feet during the flight from Ciudad Guayana.",1989,11,0,1,1,0,0,0,1341
"Block Island, Rhode Island",New England Airlines,Britten-Norman BN-2A Islander,8,7,1,8,7,1,0,Crashed into the sea 4 miles Northwest of the Island. Unknown cause. There was sever turbulence and windshear in the area.,1989,11,0,1,1,0,0,0,1340
"Patuxent, Maryland",Military - U.S. Army,CASA 212 Aviocar 200,5,0,5,5,0,5,0,"The crew inadvertently selected ""Beta Range"" on the propellers at 800 feet. The aircraft then stalled and crashed into the river.",1989,12,1,0,1,0,0,0,1339
"Pasco, Washington",United Express,British Aerospace 3101 Jetstream 31,6,4,2,6,4,2,0,"The aircraft was observed sinking fast while attempting to land at Pasco. The aircraft suddenly nosed over and crashed short of the runway. The crew's decision to continue an unstabilized instrument landing system approach that led to a stall, most likely of the horizontal stabilizer, and loss of control at low altitude. Contributing to the accident was the air traffic controller's improper vectors that positioned the aircraft inside the outer marker while it was still well above the glideslope. Contributing to the stall and loss of control was the accumulation of airframe ice that degraded the aerodynamic performance of the airplane.",1989,12,0,1,1,0,0,0,1338
"Near Visina, Romania",Tarom,Antonov An-24RV,7,1,6,7,1,6,0,Crashed in poor weather conditions. Rumors suggest the plane was shot down.,1989,12,0,1,1,0,1,0,1337
Milford Sound,Air Fiordland,Cessna 207 / Cessna 207,5,4,1,5,4,1,0,"Midair collision. Five killed on ZA-DAX, ZK-DQF landed safely.",1989,12,0,1,0,0,0,1,1336
"Java Sea, Indonesia",Pelita Air Service,CASA 212 Aviocar 200,16,13,3,9,7,2,0,Ditched into the Java Sea after experiencing mechanical problems with the right engine and being unable to maintain altitude. The crew shut down the engine and feathered the propeller but could not maintain altitude despite jettisoning luggage out of the aircraft.,1990,1,0,1,0,0,0,1,1335
"Near Pervouralsk, Russia",Aeroflot,Tupolev TU-134A,71,65,6,27,23,4,0,A fire in the rear cargo hold and fire warning in both engines forced the plane to crash land in a snow laden field. The plane broke up after striking irrigation equipment. Short circuit in the electrical wiring.,1990,1,0,1,0,0,0,1,1334
"Pico Blanco, Costa Rica",SANSA,CASA 212 Aviocar 200,23,20,3,23,20,3,0,"Crashed about 4,500 feet up on 7,250 ft. Pico Blanco Mountain, 10 miles southwest of San Jose, five minutes after taking off in a driving rainstorm. Continued VFR flight into IFR condtions.  The aircraft was not  equipped with a GWPS.",1990,1,0,1,1,0,0,0,1333
"Near Leadville, Colorado",Federal Express,Cessna 208A Caravan I Cargomaster,1,0,1,1,0,1,0,"The cargo plane crashed into a 14,200 ft. Mount Massive 50 feet below the summit  while en route. Diversion of the pilot's attention, resulting in an in flight collision with terrain during normal cruise flight.",1990,1,0,1,1,0,0,0,1332
"Near Caracas, Venezuela",Military - Venezuelan Navy,CASA 212-200 Aviocar,25,22,3,25,22,3,0,"Crashed into El Junquito Hill 5 minutes after taking off and burned. Most likely cause was reduced visibility, rain and low overcast.",1990,1,1,0,1,0,0,0,1331
